,inf_mode,cell_type,rnn_direction,batch_size,sentence_length,num_unit,num_layer,epoch,accuracy,precision,recall,f_measure
76,self,lstm,uni,256,,128,2,40,0.2858470525756771,0.2861004018492995,0.2858470525756771,0.2843310171419866
77,next,gru,bi,256,,256,3,45,0.10276155071694106,0.09945307644756186,0.10276155071694106,0.09997942582519603
78,next,gru,uni,256,,512,3,60,0.07700477960701009,0.07437500863147341,0.07700477960701009,0.07445576227504379
79,next,gru,uni,256,,512,3,70,0.0805894848645778,0.0747574284014656,0.0805894848645778,0.07451740485756558
80,next,gru,uni,256,,256,3,70,0.07939458311205523,0.07712025025639295,0.07939458311205523,0.07749400522798454
81,next,lstm,uni,256,,512,3,40,0.1331651619755709,0.13446197442083355,0.1331651619755709,0.133092793344733
82,next,gru,uni,256,,256,6,80,0.07833244822092406,0.07643343296417561,0.07833244822092406,0.07680242343128545
83,next,gru,uni,256,,256,5,80,0.07156133828996282,0.06883501594123044,0.07156133828996282,0.06855545744789546
84,next,gru,uni,256,,256,5,100,0.07328730748805098,0.06782111667860433,0.07328730748805098,0.06756180145216897
85,next,gru,uni,256,,256,6,20,0.06930430164630907,0.06741837523040514,0.06930430164630907,0.06771770498171946
86,next,gru,bi,256,,256,3,40,0.10143388210302709,0.09709315174059907,0.10143388210302709,0.09792756473215622
87,next,gru,uni,256,,256,3,100,0.0848380244291025,0.0819543107253026,0.0848380244291025,0.08159082642033398
88,next,gru,bi,256,,256,2,5,0.4994689325544344,0.5042797761073592,0.4994689325544344,0.4991188068750578
89,next,lstm,uni,256,,256,3,70,0.5588157195963888,0.5631209764905959,0.5588157195963888,0.5591594428698033
90,next,gru,bi,256,,256,3,10,0.1009028146574615,0.09371604276633848,0.1009028146574615,0.09521241415828625
91,next,gru,uni,256,,512,3,50,0.0767392458842273,0.07314968284504317,0.0767392458842273,0.07259211620798814
92,next,gru,uni,256,,512,3,80,0.08510355815188529,0.08345361655565302,0.08510355815188529,0.07898183876884156
93,next,gru,bi,256,,128,2,45,0.5353159851301115,0.5392634797525193,0.5353159851301115,0.53546939275901
94,next,gru,uni,256,,256,4,100,0.2991237387148168,0.293410870279996,0.2991237387148168,0.29262281019940617
95,next,gru,bi,256,,256,2,25,0.525092936802974,0.5323156202627362,0.525092936802974,0.5264195636203078
96,next,gru,bi,256,,128,2,20,0.5319968135953266,0.5354060173478858,0.5319968135953266,0.5319992738302705
97,next,gru,bi,256,,128,2,10,0.5367764206054169,0.5397807903496239,0.5367764206054169,0.5362090501223729
98,next,gru,uni,256,,256,3,70,0.49269782262347317,0.501342751797304,0.49269782262347317,0.49452525697066446
99,next,gru,uni,256,,256,3,80,0.07952734997344663,0.07784079298761885,0.07952734997344663,0.07797340837559603
100,next,gru,uni,256,,256,3,30,0.4831386086032926,0.4904559115367214,0.4831386086032926,0.4843010602834332
101,self,lstm,uni,256,,256,2,50,0.33656399362719064,0.33039602040142807,0.33656399362719064,0.3316247764286083
102,next,gru,uni,256,,256,4,90,0.29221986192246413,0.2876255413671292,0.29221986192246413,0.28818045697517075
103,next,lstm,uni,256,,128,3,30,0.48353690918746683,0.4875829019905669,0.48353690918746683,0.48371212257277996
104,next,gru,uni,256,,256,3,60,0.40852363250132767,0.4122795371208579,0.40852363250132767,0.4065918056507697
105,next,gru,uni,256,,256,3,40,0.07607541157727031,0.07369756416074383,0.07607541157727031,0.07350780921369067
106,next,lstm,uni,256,,128,2,20,0.5108868826340945,0.5151097538878655,0.5108868826340945,0.5114201230632383
107,next,gru,bi,256,,128,2,35,0.5407594264471588,0.5429146466015651,0.5407594264471588,0.5395963086186525
108,next,gru,uni,256,,512,3,100,0.08722782793414764,0.08306828650047446,0.08722782793414764,0.08200385890092016
109,next,gru,bi,256,,128,2,50,0.5361125862984599,0.5429094586685963,0.5361125862984599,0.5373418885496926
110,self,lstm,uni,256,,256,3,50,0.3101433882103027,0.3100197350363278,0.3101433882103027,0.3088320811157191
111,self,lstm,uni,256,,256,3,20,0.2899628252788104,0.2907783840228981,0.2899628252788104,0.28862019527021193
112,next,gru,bi,256,,256,2,45,0.5219065321295805,0.5297406953986339,0.5219065321295805,0.5236526848409617
113,next,gru,uni,256,,256,3,80,0.5698353690918747,0.5797445581711113,0.5698353690918747,0.5720705353069874
114,next,gru,uni,256,,256,3,20,0.4281731279872544,0.43145624232083424,0.4281731279872544,0.42760659541414164
115,next,gru,uni,256,,256,4,30,0.1615772703133298,0.15244598830714287,0.1615772703133298,0.15355860268586227
116,next,lstm,uni,256,,512,3,70,0.3794476898566118,0.3826114887062766,0.3794476898566118,0.37817375489404853
117,next,gru,uni,256,,256,3,100,0.4374668082846522,0.4387536495856857,0.4374668082846522,0.4351068287252322
118,next,gru,uni,256,,256,4,60,0.2173393520977164,0.2078231526328714,0.2173393520977164,0.20946569964958725
119,next,gru,uni,256,,256,3,60,0.4395910780669145,0.44595795197152366,0.4395910780669145,0.4407539260104219
120,next,gru,uni,256,,256,3,80,0.42113648433351036,0.4263486173032656,0.42113648433351036,0.4206270287412382
121,next,gru,bi,256,,128,3,15,0.5090281465746149,0.516852701363091,0.5090281465746149,0.5105774678165637
122,next,gru,uni,256,,256,3,90,0.08749336165693043,0.08382861482876541,0.08749336165693043,0.08421395302310765
123,next,gru,bi,256,,128,3,30,0.5131439192777483,0.5195770138046497,0.5131439192777483,0.513998424317768
124,self,lstm,uni,256,,128,2,50,0.28478491768454595,0.2833422992671273,0.28478491768454595,0.2829870357931789
125,self,lstm,uni,256,,256,2,40,0.3347052575677111,0.33045348865426305,0.3347052575677111,0.3310216695551034
126,self,lstm,uni,256,,128,3,40,0.3194370685077005,0.3168176312034148,0.3194370685077005,0.31685710869888617
127,next,gru,bi,256,,128,3,35,0.5119490175252257,0.5204621000341236,0.5119490175252257,0.5136918596942629
128,next,gru,uni,256,,256,6,60,0.08616569304301647,0.08555595650934036,0.08616569304301647,0.08116088743465841
129,next,lstm,uni,256,,128,2,50,0.5078332448220924,0.5141249894051065,0.5078332448220924,0.5090320560786065
130,next,gru,uni,256,,256,5,10,0.07129580456718003,0.06869273157095467,0.07129580456718003,0.06782848192023304
131,next,gru,uni,256,,256,3,20,0.06956983536909188,0.06710973067239044,0.06956983536909188,0.0677539117094276
132,next,gru,uni,256,,256,6,10,0.06731279872543813,0.06377215559575129,0.06731279872543813,0.06403680221601868
133,next,gru,uni,256,,256,5,20,0.07315454062665959,0.07032738971438955,0.07315454062665959,0.07034140696647768
